_id,session_id,user_id,task_id,session_start_time,session_end_time,__v
65fd5fb9d4a80ca04989beb6,84fe034f-4d80-4dd1-9021-764cc63088ec,83dc2ca4-3ff9-4ee4-9aa0-c27b994a4e07,task1,2024-03-22 10:37:18,2024-03-22 10:38:50.012,0
65fef88c8808b5e176f86250,718ebf07-2849-42f3-bfd0-f66bae677e39,9ce6999c-15de-45d1-a192-52b826bb7129,task4,2024-03-23 15:41:36,2024-03-23 15:43:08.797,0
65fef8d58808b5e176f8625a,29cd3b97-3c30-4644-a1e1-41e5d7afed7b,b1622f74-6811-4815-9cd7-fb0e5fc11ec6,task1,2024-03-23 15:41:32,2024-03-23 15:44:20.934,0
65fef9168808b5e176f86260,718ebf07-2849-42f3-bfd0-f66bae677e39,9ce6999c-15de-45d1-a192-52b826bb7129,task4,2024-03-23 15:41:36,2024-03-23 15:45:26.712,0
65fef9e18808b5e176f8626e,11fd19d4-e4f2-4319-9c9e-4e3308c00b2c,b1622f74-6811-4815-9cd7-fb0e5fc11ec6,task2,2024-03-23 15:47:48,2024-03-23 15:48:49.434,0
65fefa6b8808b5e176f8627e,c9f462fc-7818-43c1-b73c-3f72b516061e,9ce6999c-15de-45d1-a192-52b826bb7129,task1,2024-03-23 15:48:56,2024-03-23 15:51:07.260,0
65fefa818808b5e176f86282,a8c93559-de59-44c6-8958-2459076149ca,b1622f74-6811-4815-9cd7-fb0e5fc11ec6,task4,2024-03-23 15:49:32,2024-03-23 15:51:29.726,0
65fefb388808b5e176f86290,ec1c1412-f3ea-4eff-8277-dd5c7203fcbe,9ce6999c-15de-45d1-a192-52b826bb7129,task3,2024-03-23 15:54:11,2024-03-23 15:54:32.570,0
65fefb6e8808b5e176f86294,5ad7cd70-4639-40fd-9fc1-e0cbdf5b56d3,b1622f74-6811-4815-9cd7-fb0e5fc11ec6,task3,2024-03-23 15:54:13,2024-03-23 15:55:25.998,0
65fefbf88808b5e176f862a4,5671cdee-1075-469b-8b92-89cbd7af72a1,9ce6999c-15de-45d1-a192-52b826bb7129,task2,2024-03-23 15:56:45,2024-03-23 15:57:44.715,0
